,date,team_a,team_b,score
0,2020-03-01,1610612766,1610612749,178.0
1,2020-03-01,1610612750,1610612742,202.0
2,2020-03-01,1610612746,1610612755,266.0
3,2020-03-01,1610612743,1610612761,251.0
4,2020-03-01,1610612758,1610612765,206.0
5,2020-03-01,1610612740,1610612747,236.0
6,2020-03-01,1610612744,1610612764,234.0
7,2020-02-29,1610612752,1610612741,240.0
8,2020-02-29,1610612737,1610612757,246.0
9,2020-02-29,1610612748,1610612751,229.0
10,2020-02-29,1610612739,1610612754,217.0
11,2020-02-29,1610612763,1610612747,193.0
12,2020-02-29,1610612738,1610612745,221.0
13,2020-02-29,1610612759,1610612753,227.0
14,2020-02-29,1610612756,1610612744,214.0
15,2020-02-28,1610612753,1610612750,261.0
16,2020-02-28,1610612737,1610612751,259.0
17,2020-02-28,1610612761,1610612766,195.0
18,2020-02-28,1610612748,1610612742,244.0
19,2020-02-28,1610612763,1610612758,205.0
20,2020-02-28,1610612749,1610612760,219.0
21,2020-02-28,1610612740,1610612739,220.0
22,2020-02-28,1610612756,1610612765,224.0
23,2020-02-28,1610612762,1610612764,248.0
24,2020-02-28,1610612746,1610612743,235.0
25,2020-02-27,1610612755,1610612752,221.0
26,2020-02-27,1610612754,1610612757,206.0
27,2020-02-27,1610612760,1610612758,220.0
28,2020-02-27,1610612744,1610612747,202.0
29,2020-02-26,1610612766,1610612752,208.0
30,2020-02-26,1610612739,1610612755,202.0
31,2020-02-26,1610612764,1610612751,216.0
32,2020-02-26,1610612737,1610612753,250.0
33,2020-02-26,1610612748,1610612750,255.0
34,2020-02-26,1610612745,1610612763,252.0
35,2020-02-26,1610612759,1610612742,212.0
36,2020-02-26,1610612756,1610612746,194.0
37,2020-02-26,1610612762,1610612738,217.0
38,2020-02-25,1610612754,1610612766,199.0
39,2020-02-25,1610612761,1610612749,205.0
40,2020-02-25,1610612741,1610612760,246.0
41,2020-02-25,1610612743,1610612765,213.0
42,2020-02-25,1610612747,1610612740,227.0
43,2020-02-25,1610612757,1610612738,224.0
44,2020-02-25,1610612744,1610612758,206.0
45,2020-02-24,1610612739,1610612748,244.0
46,2020-02-24,1610612755,1610612737,241.0
47,2020-02-24,1610612764,1610612749,271.0
48,2020-02-24,1610612751,1610612753,228.0
49,2020-02-24,1610612745,1610612752,235.0
50,2020-02-24,1610612742,1610612750,262.0
51,2020-02-24,1610612762,1610612756,242.0
52,2020-02-24,1610612746,1610612763,221.0
53,2020-02-23,1610612747,1610612738,226.0
54,2020-02-23,1610612761,1610612754,208.0
55,2020-02-23,1610612743,1610612750,244.0
56,2020-02-23,1610612741,1610612764,243.0
57,2020-02-23,1610612760,1610612759,234.0
58,2020-02-23,1610612744,1610612740,216.0
59,2020-02-23,1610612757,1610612765,211.0
60,2020-02-22,1610612746,1610612758,215.0
61,2020-02-22,1610612766,1610612751,201.0
62,2020-02-22,1610612737,1610612742,218.0
63,2020-02-22,1610612748,1610612739,229.0
64,2020-02-22,1610612741,1610612756,216.0
65,2020-02-22,1610612749,1610612755,217.0
66,2020-02-22,1610612762,1610612745,230.0
67,2020-02-21,1610612753,1610612742,228.0
68,2020-02-21,1610612764,1610612739,221.0
69,2020-02-21,1610612752,1610612754,204.0
70,2020-02-21,1610612761,1610612756,219.0
71,2020-02-21,1610612750,1610612738,244.0
72,2020-02-21,1610612760,1610612743,214.0
73,2020-02-21,1610612762,1610612759,217.0
74,2020-02-21,1610612747,1610612763,222.0
75,2020-02-21,1610612757,1610612740,243.0
76,2020-02-20,1610612765,1610612749,232.0
77,2020-02-20,1610612737,1610612748,253.0
78,2020-02-20,1610612755,1610612751,216.0
79,2020-02-20,1610612741,1610612766,196.0
80,2020-02-20,1610612758,1610612763,254.0
81,2020-02-20,1610612744,1610612745,240.0
82,2020-02-13,1610612738,1610612746,274.0
83,2020-02-13,1610612740,1610612760,241.0
84,2020-02-12,1610612739,1610612737,232.0
85,2020-02-12,1610612753,1610612765,228.0
86,2020-02-12,1610612751,1610612761,192.0
87,2020-02-12,1610612754,1610612749,229.0
88,2020-02-12,1610612752,1610612764,210.0
89,2020-02-12,1610612763,1610612757,215.0
90,2020-02-12,1610612750,1610612766,223.0
91,2020-02-12,1610612742,1610612758,241.0
92,2020-02-12,1610612756,1610612744,218.0
93,2020-02-12,1610612762,1610612748,217.0
94,2020-02-12,1610612743,1610612747,236.0
95,2020-02-11,1610612755,1610612746,213.0
96,2020-02-11,1610612764,1610612741,240.0
97,2020-02-11,1610612740,1610612757,255.0
98,2020-02-11,1610612760,1610612759,220.0
99,2020-02-11,1610612745,1610612738,221.0
100,2020-02-10,1610612765,1610612766,163.0
101,2020-02-10,1610612754,1610612751,211.0
102,2020-02-10,1610612753,1610612737,261.0
103,2020-02-10,1610612761,1610612750,263.0
104,2020-02-10,1610612749,1610612758,234.0
105,2020-02-10,1610612742,1610612762,242.0
106,2020-02-10,1610612743,1610612759,247.0
107,2020-02-10,1610612744,1610612748,214.0
108,2020-02-10,1610612747,1610612756,225.0
109,2020-02-09,1610612760,1610612738,223.0
110,2020-02-09,1610612737,1610612752,275.0
111,2020-02-09,1610612755,1610612741,229.0
112,2020-02-09,1610612764,1610612763,205.0
113,2020-02-09,1610612745,1610612762,227.0
114,2020-02-09,1610612739,1610612746,225.0
115,2020-02-09,1610612757,1610612748,224.0
116,2020-02-08,1610612753,1610612749,206.0
117,2020-02-08,1610612766,1610612742,216.0
118,2020-02-08,1610612765,1610612752,187.0
119,2020-02-08,1610612754,1610612740,241.0
120,2020-02-08,1610612761,1610612751,237.0
121,2020-02-08,1610612750,1610612746,257.0
122,2020-02-08,1610612744,1610612747,245.0
123,2020-02-08,1610612756,1610612743,225.0
124,2020-02-08,1610612758,1610612759,224.0
125,2020-02-07,1610612755,1610612763,226.0
126,2020-02-07,1610612764,1610612742,237.0
127,2020-02-07,1610612738,1610612737,219.0
128,2020-02-07,1610612754,1610612761,221.0
129,2020-02-07,1610612760,1610612765,209.0
130,2020-02-07,1610612756,1610612745,218.0
131,2020-02-07,1610612758,1610612748,202.0
132,2020-02-07,1610612762,1610612757,231.0
133,2020-02-06,1610612752,1610612753,208.0
134,2020-02-06,1610612741,1610612740,244.0
135,2020-02-06,1610612749,1610612755,213.0
136,2020-02-06,1610612757,1610612759,242.0
137,2020-02-06,1610612747,1610612745,232.0
138,2020-02-05,1610612765,1610612756,224.0
139,2020-02-05,1610612738,1610612753,216.0
140,2020-02-05,1610612751,1610612744,217.0
141,2020-02-05,1610612761,1610612754,237.0
142,2020-02-05,1610612750,1610612737,247.0
143,2020-02-05,1610612760,1610612739,212.0
144,2020-02-05,1610612742,1610612763,228.0
145,2020-02-05,1610612762,1610612743,193.0
146,2020-02-05,1610612746,1610612748,239.0
147,2020-02-04,1610612740,1610612749,228.0
148,2020-02-04,1610612745,1610612766,235.0
149,2020-02-04,1610612743,1610612757,226.0
150,2020-02-04,1610612747,1610612759,231.0
151,2020-02-03,1610612766,1610612753,212.0
152,2020-02-03,1610612739,1610612752,273.0
153,2020-02-03,1610612754,1610612742,215.0
154,2020-02-03,1610612764,1610612744,242.0
155,2020-02-03,1610612737,1610612738,238.0
156,2020-02-03,1610612751,1610612756,216.0
157,2020-02-03,1610612748,1610612755,243.0
158,2020-02-03,1610612763,1610612765,178.0
159,2020-02-03,1610612758,1610612750,222.0
160,2020-02-03,1610612746,1610612759,213.0
161,2020-02-02,1610612765,1610612743,251.0
162,2020-02-02,1610612745,1610612740,226.0
163,2020-02-02,1610612749,1610612756,237.0
164,2020-02-02,1610612761,1610612741,231.0
165,2020-02-01,1610612746,1610612750,224.0
166,2020-02-01,1610612754,1610612752,177.0
167,2020-02-01,1610612753,1610612748,191.0
168,2020-02-01,1610612739,1610612744,243.0
169,2020-02-01,1610612764,1610612751,220.0
170,2020-02-01,1610612738,1610612755,211.0
171,2020-02-01,1610612742,1610612737,223.0
172,2020-02-01,1610612759,1610612766,204.0
173,2020-02-01,1610612758,1610612747,242.0
174,2020-02-01,1610612757,1610612762,231.0
175,2020-01-31,1610612765,1610612761,197.0
176,2020-01-31,1610612751,1610612741,251.0
177,2020-01-31,1610612745,1610612742,249.0
178,2020-01-31,1610612740,1610612763,250.0
179,2020-01-31,1610612749,1610612743,242.0
180,2020-01-31,1610612756,1610612760,218.0
181,2020-01-31,1610612747,1610612757,246.0
182,2020-01-30,1610612739,1610612761,224.0
183,2020-01-30,1610612764,1610612766,228.0
184,2020-01-30,1610612737,1610612755,244.0
185,2020-01-30,1610612738,1610612744,223.0
186,2020-01-30,1610612743,1610612762,206.0
187,2020-01-30,1610612746,1610612758,227.0
188,2020-01-29,1610612754,1610612741,221.0
189,2020-01-29,1610612751,1610612765,240.0
190,2020-01-29,1610612752,1610612763,233.0
191,2020-01-29,1610612759,1610612762,247.0
192,2020-01-29,1610612757,1610612745,237.0
193,2020-01-29,1610612758,1610612760,220.0
194,2020-01-28,1610612766,1610612752,189.0
195,2020-01-28,1610612755,1610612744,219.0
196,2020-01-28,1610612739,1610612740,236.0
197,2020-01-28,1610612761,1610612737,244.0
198,2020-01-28,1610612748,1610612738,210.0
199,2020-01-28,1610612763,1610612743,200.0
200,2020-01-28,1610612749,1610612764,282.0
201,2020-01-28,1610612742,1610612756,237.0
202,2020-01-27,1610612765,1610612739,215.0
203,2020-01-27,1610612748,1610612753,205.0
204,2020-01-27,1610612741,1610612759,219.0
205,2020-01-27,1610612750,1610612758,262.0
206,2020-01-27,1610612760,1610612742,204.0
207,2020-01-27,1610612762,1610612745,243.0
208,2020-01-26,1610612743,1610612745,227.0
209,2020-01-26,1610612759,1610612761,216.0
210,2020-01-26,1610612737,1610612764,285.0
211,2020-01-26,1610612752,1610612751,207.0
212,2020-01-26,1610612753,1610612746,209.0
213,2020-01-26,1610612763,1610612756,223.0
214,2020-01-26,1610612740,1610612738,231.0
215,2020-01-26,1610612757,1610612754,268.0
216,2020-01-25,1610612762,1610612742,219.0
217,2020-01-25,1610612765,1610612751,232.0
218,2020-01-25,1610612739,1610612741,224.0
219,2020-01-25,1610612750,1610612760,217.0
220,2020-01-25,1610612755,1610612747,199.0
221,2020-01-24,1610612766,1610612749,219.0
222,2020-01-24,1610612765,1610612763,237.0
223,2020-01-24,1610612753,1610612738,207.0
224,2020-01-24,1610612752,1610612761,230.0
225,2020-01-24,1610612748,1610612746,239.0
226,2020-01-24,1610612741,1610612758,179.0
227,2020-01-24,1610612750,1610612745,255.0
228,2020-01-24,1610612740,1610612743,219.0
229,2020-01-24,1610612760,1610612737,251.0
230,2020-01-24,1610612759,1610612756,202.0
231,2020-01-24,1610612744,1610612754,247.0
232,2020-01-23,1610612739,1610612764,236.0
233,2020-01-23,1610612751,1610612747,241.0
234,2020-01-23,1610612757,1610612742,258.0
235,2020-01-22,1610612765,1610612758,233.0
236,2020-01-22,1610612753,1610612760,234.0
237,2020-01-22,1610612761,1610612755,202.0
238,2020-01-22,1610612737,1610612746,197.0
239,2020-01-22,1610612738,1610612763,214.0
240,2020-01-22,1610612748,1610612764,263.0
241,2020-01-22,1610612752,1610612747,192.0
242,2020-01-22,1610612741,1610612750,227.0
243,2020-01-22,1610612745,1610612743,226.0
244,2020-01-22,1610612756,1610612754,199.0
245,2020-01-22,1610612740,1610612759,238.0
246,2020-01-22,1610612744,1610612762,225.0
247,2020-01-21,1610612742,1610612746,217.0
248,2020-01-20,1610612764,1610612765,206.0
249,2020-01-20,1610612737,1610612761,239.0
250,2020-01-20,1610612751,1610612755,228.0
251,2020-01-20,1610612766,1610612753,189.0
252,2020-01-20,1610612739,1610612752,192.0
253,2020-01-20,1610612748,1610612758,231.0
254,2020-01-20,1610612745,1610612760,219.0
255,2020-01-20,1610612763,1610612740,242.0
256,2020-01-20,1610612749,1610612741,209.0
257,2020-01-20,1610612738,1610612747,246.0
258,2020-01-20,1610612750,1610612743,207.0
259,2020-01-20,1610612756,1610612759,238.0
260,2020-01-20,1610612762,1610612754,206.0
261,2020-01-20,1610612757,1610612744,253.0
262,2020-01-19,1610612759,1610612748,209.0
263,2020-01-19,1610612743,1610612754,222.0
264,2020-01-18,1610612740,1610612746,263.0
265,2020-01-18,1610612751,1610612749,214.0
266,2020-01-18,1610612738,1610612756,242.0
267,2020-01-18,1610612737,1610612765,239.0
268,2020-01-18,1610612752,1610612755,177.0
269,2020-01-18,1610612741,1610612739,234.0
270,2020-01-18,1610612750,1610612761,234.0
271,2020-01-18,1610612745,1610612747,239.0
272,2020-01-18,1610612744,1610612753,204.0
273,2020-01-18,1610612760,1610612757,225.0
274,2020-01-18,1610612762,1610612758,224.0
275,2020-01-17,1610612754,1610612750,230.0
276,2020-01-17,1610612755,1610612741,189.0
277,2020-01-17,1610612761,1610612764,251.0
278,2020-01-17,1610612763,1610612739,222.0
279,2020-01-17,1610612760,1610612748,223.0
280,2020-01-17,1610612759,1610612737,241.0
281,2020-01-17,1610612742,1610612757,232.0
282,2020-01-16,1610612752,1610612756,219.0
283,2020-01-16,1610612749,1610612738,251.0
284,2020-01-16,1610612740,1610612762,270.0
285,2020-01-16,1610612744,1610612743,265.0
286,2020-01-16,1610612746,1610612753,217.0
287,2020-01-15,1610612738,1610612765,219.0
288,2020-01-15,1610612755,1610612751,223.0
289,2020-01-15,1610612748,1610612759,206.0
290,2020-01-15,1610612741,1610612764,221.0
291,2020-01-15,1610612750,1610612754,203.0
292,2020-01-15,1610612760,1610612761,251.0
293,2020-01-15,1610612743,1610612766,186.0
294,2020-01-15,1610612745,1610612757,224.0
295,2020-01-15,1610612758,1610612742,250.0
296,2020-01-15,1610612747,1610612753,237.0
297,2020-01-14,1610612737,1610612756,233.0
298,2020-01-14,1610612751,1610612762,225.0
299,2020-01-14,1610612763,1610612745,231.0
300,2020-01-14,1610612749,1610612752,230.0
301,2020-01-14,1610612744,1610612742,221.0
302,2020-01-14,1610612746,1610612739,231.0
303,2020-01-13,1610612765,1610612740,227.0
304,2020-01-13,1610612754,1610612755,196.0
305,2020-01-13,1610612738,1610612741,214.0
306,2020-01-13,1610612750,1610612760,221.0
307,2020-01-13,1610612757,1610612766,227.0
308,2020-01-13,1610612758,1610612753,226.0
309,2020-01-13,1610612747,1610612739,227.0
310,2020-01-12,1610612752,1610612748,245.0
311,2020-01-12,1610612764,1610612762,243.0
312,2020-01-12,1610612751,1610612737,194.0
313,2020-01-12,1610612761,1610612759,209.0
314,2020-01-12,1610612763,1610612744,224.0
315,2020-01-12,1610612743,1610612746,218.0
316,2020-01-12,1610612756,1610612766,192.0
