date,team_a,team_b,score,sidefeature
2020-03-01,1610612766,1610612749,178.0,214.02
2020-03-01,1610612750,1610612742,202.0,224.14
2020-03-01,1610612746,1610612755,266.0,221.48
2020-03-01,1610612743,1610612761,251.0,220.36
2020-03-01,1610612758,1610612765,206.0,219.24
2020-03-01,1610612740,1610612747,236.0,225.66
2020-03-01,1610612744,1610612764,234.0,220.54
2020-02-29,1610612752,1610612741,240.0,210.3
2020-02-29,1610612737,1610612757,246.0,226.52
2020-02-29,1610612748,1610612751,229.0,216.32
2020-02-29,1610612739,1610612754,217.0,215.34
2020-02-29,1610612763,1610612747,193.0,220.88
2020-02-29,1610612738,1610612745,221.0,224.8
2020-02-29,1610612759,1610612753,227.0,214.0
2020-02-29,1610612756,1610612744,214.0,219.06
2020-02-28,1610612753,1610612750,261.0,216.72
2020-02-28,1610612737,1610612751,259.0,217.1
2020-02-28,1610612761,1610612766,195.0,213.68
2020-02-28,1610612748,1610612742,244.0,221.18
2020-02-28,1610612763,1610612758,205.0,216.44
2020-02-28,1610612749,1610612760,219.0,222.26
2020-02-28,1610612740,1610612739,220.0,223.94
2020-02-28,1610612756,1610612765,224.0,219.14
2020-02-28,1610612762,1610612764,248.0,217.48
2020-02-28,1610612746,1610612743,235.0,222.28
2020-02-27,1610612755,1610612752,221.0,213.72
2020-02-27,1610612754,1610612757,206.0,218.78
2020-02-27,1610612760,1610612758,220.0,219.7
2020-02-27,1610612744,1610612747,202.0,222.24
2020-02-26,1610612766,1610612752,208.0,208.88
2020-02-26,1610612739,1610612755,202.0,217.7
2020-02-26,1610612764,1610612751,216.0,215.68
2020-02-26,1610612737,1610612753,250.0,214.56
2020-02-26,1610612748,1610612750,255.0,220.1
2020-02-26,1610612745,1610612763,252.0,221.08
2020-02-26,1610612759,1610612742,212.0,220.56
2020-02-26,1610612756,1610612746,194.0,222.54
2020-02-26,1610612762,1610612738,217.0,217.06
2020-02-25,1610612754,1610612766,199.0,207.1
2020-02-25,1610612761,1610612749,205.0,221.46
2020-02-25,1610612741,1610612760,246.0,214.56
2020-02-25,1610612743,1610612765,213.0,220.44
2020-02-25,1610612747,1610612740,227.0,225.46
2020-02-25,1610612757,1610612738,224.0,225.28
2020-02-25,1610612744,1610612758,206.0,219.36
2020-02-24,1610612739,1610612748,244.0,216.78
2020-02-24,1610612755,1610612737,241.0,216.8
2020-02-24,1610612764,1610612749,271.0,219.4
2020-02-24,1610612751,1610612753,228.0,209.42
2020-02-24,1610612745,1610612752,235.0,219.04
2020-02-24,1610612742,1610612750,262.0,223.74
2020-02-24,1610612762,1610612756,242.0,215.4
2020-02-24,1610612746,1610612763,221.0,220.22
2020-02-23,1610612747,1610612738,226.0,222.98
2020-02-23,1610612761,1610612754,208.0,214.5
2020-02-23,1610612743,1610612750,244.0,221.52
2020-02-23,1610612741,1610612764,243.0,210.9
2020-02-23,1610612760,1610612759,234.0,219.28
2020-02-23,1610612744,1610612740,216.0,223.1
2020-02-23,1610612757,1610612765,211.0,225.56
2020-02-22,1610612746,1610612758,215.0,221.3
2020-02-22,1610612766,1610612751,201.0,207.62
2020-02-22,1610612737,1610612742,218.0,221.52
2020-02-22,1610612748,1610612739,229.0,216.06
2020-02-22,1610612741,1610612756,216.0,211.5
2020-02-22,1610612749,1610612755,217.0,217.24
2020-02-22,1610612762,1610612745,230.0,217.76
2020-02-21,1610612753,1610612742,228.0,214.86
2020-02-21,1610612764,1610612739,221.0,217.04
2020-02-21,1610612752,1610612754,204.0,209.64
2020-02-21,1610612761,1610612756,219.0,219.96
2020-02-21,1610612750,1610612738,244.0,221.98
2020-02-21,1610612760,1610612743,214.0,220.0
2020-02-21,1610612762,1610612759,217.0,212.64
2020-02-21,1610612747,1610612763,222.0,219.98
2020-02-21,1610612757,1610612740,243.0,227.86
2020-02-20,1610612765,1610612749,232.0,220.32
2020-02-20,1610612737,1610612748,253.0,216.04
2020-02-20,1610612755,1610612751,216.0,211.24
2020-02-20,1610612741,1610612766,196.0,203.72
2020-02-20,1610612758,1610612763,254.0,214.92
2020-02-20,1610612744,1610612745,240.0,221.56
2020-02-13,1610612738,1610612746,274.0,221.6
2020-02-13,1610612740,1610612760,241.0,223.36
2020-02-12,1610612739,1610612737,232.0,217.92
2020-02-12,1610612753,1610612765,228.0,212.72
2020-02-12,1610612751,1610612761,192.0,215.0
2020-02-12,1610612754,1610612749,229.0,214.18
2020-02-12,1610612752,1610612764,210.0,213.98
2020-02-12,1610612763,1610612757,215.0,221.52
2020-02-12,1610612750,1610612766,223.0,214.32
2020-02-12,1610612742,1610612758,241.0,217.88
2020-02-12,1610612756,1610612744,218.0,217.78
2020-02-12,1610612762,1610612748,217.0,210.8
2020-02-12,1610612743,1610612747,236.0,221.3
2020-02-11,1610612755,1610612746,213.0,218.78
2020-02-11,1610612764,1610612741,240.0,208.26
2020-02-11,1610612740,1610612757,255.0,226.08
2020-02-11,1610612760,1610612759,220.0,219.72
2020-02-11,1610612745,1610612738,221.0,222.16000000000003
2020-02-10,1610612765,1610612766,163.0,213.38
2020-02-10,1610612754,1610612751,211.0,207.88
2020-02-10,1610612753,1610612737,261.0,211.4
2020-02-10,1610612761,1610612750,263.0,221.44
2020-02-10,1610612749,1610612758,234.0,217.2
2020-02-10,1610612742,1610612762,242.0,213.8
2020-02-10,1610612743,1610612759,247.0,217.02
2020-02-10,1610612744,1610612748,214.0,215.02
2020-02-10,1610612747,1610612756,225.0,221.9
2020-02-09,1610612760,1610612738,223.0,219.54
2020-02-09,1610612737,1610612752,275.0,213.38
2020-02-09,1610612755,1610612741,229.0,206.68
2020-02-09,1610612764,1610612763,205.0,213.72000000000003
2020-02-09,1610612745,1610612762,227.0,217.02
2020-02-09,1610612739,1610612746,225.0,220.94
2020-02-09,1610612757,1610612748,224.0,221.78
2020-02-08,1610612753,1610612749,206.0,212.08
2020-02-08,1610612766,1610612742,216.0,212.3
2020-02-08,1610612765,1610612752,187.0,216.74
2020-02-08,1610612754,1610612740,241.0,213.74
2020-02-08,1610612761,1610612751,237.0,213.7
2020-02-08,1610612750,1610612746,257.0,223.26
2020-02-08,1610612744,1610612747,245.0,219.34
2020-02-08,1610612756,1610612743,225.0,218.16
2020-02-08,1610612758,1610612759,224.0,216.04
2020-02-07,1610612755,1610612763,226.0,212.58
2020-02-07,1610612764,1610612742,237.0,215.48
2020-02-07,1610612738,1610612737,219.0,216.04
2020-02-07,1610612754,1610612761,221.0,210.6
2020-02-07,1610612760,1610612765,209.0,221.44
2020-02-07,1610612756,1610612745,218.0,223.2
2020-02-07,1610612758,1610612748,202.0,214.02
2020-02-07,1610612762,1610612757,231.0,218.28
2020-02-06,1610612752,1610612753,208.0,208.24
2020-02-06,1610612741,1610612740,244.0,211.16
2020-02-06,1610612749,1610612755,213.0,215.68
2020-02-06,1610612757,1610612759,242.0,222.6
2020-02-06,1610612747,1610612745,232.0,226.28
2020-02-05,1610612765,1610612756,224.0,220.22
2020-02-05,1610612738,1610612753,216.0,209.72
2020-02-05,1610612751,1610612744,217.0,211.7
2020-02-05,1610612761,1610612754,237.0,210.06
2020-02-05,1610612750,1610612737,247.0,217.46
2020-02-05,1610612760,1610612739,212.0,218.5
2020-02-05,1610612742,1610612763,228.0,217.48
2020-02-05,1610612762,1610612743,193.0,211.88
2020-02-05,1610612746,1610612748,239.0,219.24
2020-02-04,1610612740,1610612749,228.0,222.0
2020-02-04,1610612745,1610612766,235.0,215.02
2020-02-04,1610612743,1610612757,226.0,222.82
2020-02-04,1610612747,1610612759,231.0,222.08
2020-02-03,1610612766,1610612753,212.0,204.16
2020-02-03,1610612739,1610612752,273.0,212.98
2020-02-03,1610612754,1610612742,215.0,211.74
2020-02-03,1610612764,1610612744,242.0,211.62
2020-02-03,1610612737,1610612738,238.0,214.0
2020-02-03,1610612751,1610612756,216.0,214.48
2020-02-03,1610612748,1610612755,243.0,211.7
2020-02-03,1610612763,1610612765,178.0,217.94
2020-02-03,1610612758,1610612750,222.0,216.64
2020-02-03,1610612746,1610612759,213.0,220.74
2020-02-02,1610612765,1610612743,251.0,217.86
2020-02-02,1610612745,1610612740,226.0,224.74
2020-02-02,1610612749,1610612756,237.0,219.68
2020-02-02,1610612761,1610612741,231.0,207.46
2020-02-01,1610612746,1610612750,224.0,221.84
2020-02-01,1610612754,1610612752,177.0,207.8
2020-02-01,1610612753,1610612748,191.0,207.9
2020-02-01,1610612739,1610612744,243.0,212.9
2020-02-01,1610612764,1610612751,220.0,208.9
2020-02-01,1610612738,1610612755,211.0,213.1
2020-02-01,1610612742,1610612737,223.0,216.58
2020-02-01,1610612759,1610612766,204.0,210.96
2020-02-01,1610612758,1610612747,242.0,219.76
2020-02-01,1610612757,1610612762,231.0,216.72
2020-01-31,1610612765,1610612761,197.0,216.86
2020-01-31,1610612751,1610612741,251.0,203.36
2020-01-31,1610612745,1610612742,249.0,222.06
2020-01-31,1610612740,1610612763,250.0,218.78
2020-01-31,1610612749,1610612743,242.0,217.92
2020-01-31,1610612756,1610612760,218.0,219.9
2020-01-31,1610612747,1610612757,246.0,225.74
2020-01-30,1610612739,1610612761,224.0,213.94
