date,team_a,team_b,score
2020-03-01,1610612766,1610612749,178.0
2020-03-01,1610612750,1610612742,202.0
2020-03-01,1610612746,1610612755,266.0
2020-03-01,1610612743,1610612761,251.0
2020-03-01,1610612758,1610612765,206.0
2020-03-01,1610612740,1610612747,236.0
2020-03-01,1610612744,1610612764,234.0
2020-02-29,1610612752,1610612741,240.0
2020-02-29,1610612737,1610612757,246.0
2020-02-29,1610612748,1610612751,229.0
2020-02-29,1610612739,1610612754,217.0
2020-02-29,1610612763,1610612747,193.0
2020-02-29,1610612738,1610612745,221.0
2020-02-29,1610612759,1610612753,227.0
2020-02-29,1610612756,1610612744,214.0
2020-02-28,1610612753,1610612750,261.0
2020-02-28,1610612737,1610612751,259.0
2020-02-28,1610612761,1610612766,195.0
2020-02-28,1610612748,1610612742,244.0
2020-02-28,1610612763,1610612758,205.0
2020-02-28,1610612749,1610612760,219.0
2020-02-28,1610612740,1610612739,220.0
2020-02-28,1610612756,1610612765,224.0
2020-02-28,1610612762,1610612764,248.0
2020-02-28,1610612746,1610612743,235.0
2020-02-27,1610612755,1610612752,221.0
2020-02-27,1610612754,1610612757,206.0
2020-02-27,1610612760,1610612758,220.0
2020-02-27,1610612744,1610612747,202.0
2020-02-26,1610612766,1610612752,208.0
2020-02-26,1610612739,1610612755,202.0
2020-02-26,1610612764,1610612751,216.0
2020-02-26,1610612737,1610612753,250.0
2020-02-26,1610612748,1610612750,255.0
2020-02-26,1610612745,1610612763,252.0
2020-02-26,1610612759,1610612742,212.0
2020-02-26,1610612756,1610612746,194.0
2020-02-26,1610612762,1610612738,217.0
2020-02-25,1610612754,1610612766,199.0
2020-02-25,1610612761,1610612749,205.0
2020-02-25,1610612741,1610612760,246.0
2020-02-25,1610612743,1610612765,213.0
2020-02-25,1610612747,1610612740,227.0
2020-02-25,1610612757,1610612738,224.0
2020-02-25,1610612744,1610612758,206.0
2020-02-24,1610612739,1610612748,244.0
2020-02-24,1610612755,1610612737,241.0
2020-02-24,1610612764,1610612749,271.0
2020-02-24,1610612751,1610612753,228.0
2020-02-24,1610612745,1610612752,235.0
2020-02-24,1610612742,1610612750,262.0
2020-02-24,1610612762,1610612756,242.0
2020-02-24,1610612746,1610612763,221.0
2020-02-23,1610612747,1610612738,226.0
2020-02-23,1610612761,1610612754,208.0
2020-02-23,1610612743,1610612750,244.0
2020-02-23,1610612741,1610612764,243.0
2020-02-23,1610612760,1610612759,234.0
2020-02-23,1610612744,1610612740,216.0
2020-02-23,1610612757,1610612765,211.0
2020-02-22,1610612746,1610612758,215.0
2020-02-22,1610612766,1610612751,201.0
2020-02-22,1610612737,1610612742,218.0
2020-02-22,1610612748,1610612739,229.0
2020-02-22,1610612741,1610612756,216.0
2020-02-22,1610612749,1610612755,217.0
2020-02-22,1610612762,1610612745,230.0
2020-02-21,1610612753,1610612742,228.0
2020-02-21,1610612764,1610612739,221.0
2020-02-21,1610612752,1610612754,204.0
2020-02-21,1610612761,1610612756,219.0
2020-02-21,1610612750,1610612738,244.0
2020-02-21,1610612760,1610612743,214.0
2020-02-21,1610612762,1610612759,217.0
2020-02-21,1610612747,1610612763,222.0
2020-02-21,1610612757,1610612740,243.0
2020-02-20,1610612765,1610612749,232.0
2020-02-20,1610612737,1610612748,253.0
2020-02-20,1610612755,1610612751,216.0
2020-02-20,1610612741,1610612766,196.0
2020-02-20,1610612758,1610612763,254.0
2020-02-20,1610612744,1610612745,240.0
2020-02-13,1610612738,1610612746,274.0
2020-02-13,1610612740,1610612760,241.0
2020-02-12,1610612739,1610612737,232.0
2020-02-12,1610612753,1610612765,228.0
2020-02-12,1610612751,1610612761,192.0
2020-02-12,1610612754,1610612749,229.0
2020-02-12,1610612752,1610612764,210.0
2020-02-12,1610612763,1610612757,215.0
2020-02-12,1610612750,1610612766,223.0
2020-02-12,1610612742,1610612758,241.0
2020-02-12,1610612756,1610612744,218.0
2020-02-12,1610612762,1610612748,217.0
2020-02-12,1610612743,1610612747,236.0
2020-02-11,1610612755,1610612746,213.0
2020-02-11,1610612764,1610612741,240.0
2020-02-11,1610612740,1610612757,255.0
2020-02-11,1610612760,1610612759,220.0
2020-02-11,1610612745,1610612738,221.0
2020-02-10,1610612765,1610612766,163.0
2020-02-10,1610612754,1610612751,211.0
2020-02-10,1610612753,1610612737,261.0
2020-02-10,1610612761,1610612750,263.0
2020-02-10,1610612749,1610612758,234.0
2020-02-10,1610612742,1610612762,242.0
2020-02-10,1610612743,1610612759,247.0
2020-02-10,1610612744,1610612748,214.0
2020-02-10,1610612747,1610612756,225.0
2020-02-09,1610612760,1610612738,223.0
2020-02-09,1610612737,1610612752,275.0
2020-02-09,1610612755,1610612741,229.0
2020-02-09,1610612764,1610612763,205.0
2020-02-09,1610612745,1610612762,227.0
2020-02-09,1610612739,1610612746,225.0
2020-02-09,1610612757,1610612748,224.0
2020-02-08,1610612753,1610612749,206.0
2020-02-08,1610612766,1610612742,216.0
2020-02-08,1610612765,1610612752,187.0
2020-02-08,1610612754,1610612740,241.0
2020-02-08,1610612761,1610612751,237.0
2020-02-08,1610612750,1610612746,257.0
2020-02-08,1610612744,1610612747,245.0
2020-02-08,1610612756,1610612743,225.0
2020-02-08,1610612758,1610612759,224.0
2020-02-07,1610612755,1610612763,226.0
2020-02-07,1610612764,1610612742,237.0
2020-02-07,1610612738,1610612737,219.0
2020-02-07,1610612754,1610612761,221.0
