date,team_a,team_b,score,sidefeature1,sidefeature2
2020-03-01,1610612766,1610612749,178.0,0.8640000000000001,0.35600000000000004
2020-03-01,1610612750,1610612742,202.0,0.6,0.293
2020-03-01,1610612746,1610612755,266.0,0.617,0.6779999999999999
2020-03-01,1610612743,1610612761,251.0,0.7120000000000001,0.6779999999999999
2020-03-01,1610612758,1610612765,206.0,0.32799999999999996,0.424
2020-03-01,1610612740,1610612747,236.0,0.7759999999999999,0.441
2020-03-01,1610612744,1610612764,234.0,0.36200000000000004,0.217
2020-02-29,1610612752,1610612741,240.0,0.33899999999999997,0.28800000000000003
2020-02-29,1610612737,1610612757,246.0,0.433,0.295
2020-02-29,1610612748,1610612751,229.0,0.44799999999999995,0.627
2020-02-29,1610612739,1610612754,217.0,0.593,0.28800000000000003
2020-02-29,1610612763,1610612747,193.0,0.789,0.475
2020-02-29,1610612738,1610612745,221.0,0.655,0.7070000000000001
2020-02-29,1610612759,1610612753,227.0,0.45799999999999996,0.42100000000000004
2020-02-29,1610612756,1610612744,214.0,0.203,0.4
2020-02-28,1610612753,1610612750,261.0,0.298,0.44799999999999995
2020-02-28,1610612737,1610612751,259.0,0.456,0.28300000000000003
2020-02-28,1610612761,1610612766,195.0,0.345,0.7240000000000001
2020-02-28,1610612748,1610612742,244.0,0.61,0.621
2020-02-28,1610612763,1610612758,205.0,0.414,0.483
2020-02-28,1610612749,1610612760,219.0,0.627,0.862
2020-02-28,1610612740,1610612739,220.0,0.293,0.431
2020-02-28,1610612756,1610612765,224.0,0.317,0.40700000000000003
2020-02-28,1610612762,1610612764,248.0,0.368,0.621
2020-02-28,1610612746,1610612743,235.0,0.69,0.672
2020-02-27,1610612755,1610612752,221.0,0.293,0.61
2020-02-27,1610612754,1610612757,206.0,0.441,0.586
2020-02-27,1610612760,1610612758,220.0,0.42100000000000004,0.621
2020-02-27,1610612744,1610612747,202.0,0.7859999999999999,0.207
2020-02-26,1610612766,1610612752,208.0,0.298,0.33299999999999996
2020-02-26,1610612739,1610612755,202.0,0.621,0.281
2020-02-26,1610612764,1610612751,216.0,0.46399999999999997,0.35700000000000004
2020-02-26,1610612737,1610612753,250.0,0.439,0.28800000000000003
2020-02-26,1610612748,1610612750,255.0,0.28600000000000003,0.632
2020-02-26,1610612745,1610612763,252.0,0.491,0.649
2020-02-26,1610612759,1610612742,212.0,0.603,0.429
2020-02-26,1610612756,1610612746,194.0,0.667,0.414
2020-02-26,1610612762,1610612738,217.0,0.7020000000000001,0.632
2020-02-25,1610612754,1610612766,199.0,0.33899999999999997,0.579
2020-02-25,1610612761,1610612749,205.0,0.86,0.737
2020-02-25,1610612741,1610612760,246.0,0.614,0.345
2020-02-25,1610612743,1610612765,213.0,0.322,0.684
2020-02-25,1610612747,1610612740,227.0,0.439,0.782
2020-02-25,1610612757,1610612738,224.0,0.696,0.44799999999999995
2020-02-25,1610612744,1610612758,206.0,0.41100000000000003,0.21100000000000002
2020-02-24,1610612739,1610612748,244.0,0.643,0.268
2020-02-24,1610612755,1610612737,241.0,0.293,0.614
2020-02-24,1610612764,1610612749,271.0,0.857,0.364
2020-02-24,1610612751,1610612753,228.0,0.429,0.473
2020-02-24,1610612745,1610612752,235.0,0.304,0.643
2020-02-24,1610612742,1610612750,262.0,0.29100000000000004,0.596
2020-02-24,1610612762,1610612756,242.0,0.40399999999999997,0.643
2020-02-24,1610612746,1610612763,221.0,0.5,0.6609999999999999
2020-02-23,1610612747,1610612738,226.0,0.7090000000000001,0.778
2020-02-23,1610612761,1610612754,208.0,0.589,0.732
2020-02-23,1610612743,1610612750,244.0,0.29600000000000004,0.679
2020-02-23,1610612741,1610612764,243.0,0.37,0.33299999999999996
2020-02-23,1610612760,1610612759,234.0,0.436,0.607
2020-02-23,1610612744,1610612740,216.0,0.429,0.214
2020-02-23,1610612757,1610612765,211.0,0.32799999999999996,0.439
2020-02-22,1610612746,1610612758,215.0,0.4,0.6729999999999999
2020-02-22,1610612766,1610612751,201.0,0.46299999999999997,0.345
2020-02-22,1610612737,1610612742,218.0,0.607,0.281
2020-02-22,1610612748,1610612739,229.0,0.273,0.636
2020-02-22,1610612741,1610612756,216.0,0.39299999999999996,0.33899999999999997
2020-02-22,1610612749,1610612755,217.0,0.625,0.855
2020-02-22,1610612762,1610612745,230.0,0.636,0.655
2020-02-21,1610612753,1610612742,228.0,0.6,0.436
2020-02-21,1610612764,1610612739,221.0,0.259,0.377
2020-02-21,1610612752,1610612754,204.0,0.5820000000000001,0.309
2020-02-21,1610612761,1610612756,219.0,0.4,0.727
2020-02-21,1610612750,1610612738,244.0,0.7040000000000001,0.302
2020-02-21,1610612760,1610612743,214.0,0.691,0.6
2020-02-21,1610612762,1610612759,217.0,0.426,0.667
2020-02-21,1610612747,1610612763,222.0,0.509,0.774
2020-02-21,1610612757,1610612740,243.0,0.418,0.446
2020-02-20,1610612765,1610612749,232.0,0.852,0.33299999999999996
2020-02-20,1610612737,1610612748,253.0,0.648,0.268
2020-02-20,1610612755,1610612751,216.0,0.47200000000000003,0.618
2020-02-20,1610612741,1610612766,196.0,0.33299999999999996,0.345
2020-02-20,1610612758,1610612763,254.0,0.519,0.389
2020-02-20,1610612744,1610612745,240.0,0.63,0.218
2020-02-13,1610612738,1610612746,274.0,0.685,0.698
2020-02-13,1610612740,1610612760,241.0,0.593,0.426
2020-02-12,1610612739,1610612737,232.0,0.273,0.245
2020-02-12,1610612753,1610612765,228.0,0.33899999999999997,0.426
2020-02-12,1610612751,1610612761,192.0,0.741,0.462
2020-02-12,1610612754,1610612749,229.0,0.868,0.574
2020-02-12,1610612752,1610612764,210.0,0.365,0.315
2020-02-12,1610612763,1610612757,215.0,0.455,0.509
2020-02-12,1610612750,1610612766,223.0,0.321,0.308
2020-02-12,1610612742,1610612758,241.0,0.396,0.593
2020-02-12,1610612756,1610612744,218.0,0.222,0.389
2020-02-12,1610612762,1610612748,217.0,0.66,0.66
2020-02-12,1610612743,1610612747,236.0,0.769,0.7040000000000001
2020-02-11,1610612755,1610612746,213.0,0.698,0.611
2020-02-11,1610612764,1610612741,240.0,0.35200000000000004,0.353
2020-02-11,1610612740,1610612757,255.0,0.46299999999999997,0.415
2020-02-11,1610612760,1610612759,220.0,0.415,0.604
2020-02-11,1610612745,1610612738,221.0,0.7120000000000001,0.623
2020-02-10,1610612765,1610612766,163.0,0.308,0.345
2020-02-10,1610612754,1610612751,211.0,0.451,0.585
2020-02-10,1610612753,1610612737,261.0,0.278,0.415
2020-02-10,1610612761,1610612750,263.0,0.314,0.736
2020-02-10,1610612749,1610612758,234.0,0.40399999999999997,0.865
2020-02-10,1610612742,1610612762,242.0,0.654,0.604
2020-02-10,1610612743,1610612759,247.0,0.423,0.698
2020-02-10,1610612744,1610612748,214.0,0.654,0.226
2020-02-10,1610612747,1610612756,225.0,0.396,0.765
2020-02-09,1610612760,1610612738,223.0,0.706,0.615
2020-02-09,1610612737,1610612752,275.0,0.321,0.264
2020-02-09,1610612755,1610612741,229.0,0.358,0.604
2020-02-09,1610612764,1610612763,205.0,0.5,0.36
2020-02-09,1610612745,1610612762,227.0,0.647,0.635
2020-02-09,1610612739,1610612746,225.0,0.6920000000000001,0.25
2020-02-09,1610612757,1610612748,224.0,0.667,0.45299999999999996
2020-02-08,1610612753,1610612749,206.0,0.863,0.423
2020-02-08,1610612766,1610612742,216.0,0.596,0.314
2020-02-08,1610612765,1610612752,187.0,0.308,0.35200000000000004
2020-02-08,1610612754,1610612740,241.0,0.40399999999999997,0.596
2020-02-08,1610612761,1610612751,237.0,0.46,0.731
2020-02-08,1610612750,1610612746,257.0,0.706,0.3
2020-02-08,1610612744,1610612747,245.0,0.76,0.231
2020-02-08,1610612756,1610612743,225.0,0.6920000000000001,0.40399999999999997
2020-02-08,1610612758,1610612759,224.0,0.431,0.392
2020-02-07,1610612755,1610612763,226.0,0.51,0.596
2020-02-07,1610612764,1610612742,237.0,0.608,0.34700000000000003
2020-02-07,1610612738,1610612737,219.0,0.26899999999999996,0.7
2020-02-07,1610612754,1610612761,221.0,0.725,0.608
2020-02-07,1610612760,1610612765,209.0,0.358,0.608
2020-02-07,1610612756,1610612745,218.0,0.647,0.392
2020-02-07,1610612758,1610612748,202.0,0.68,0.38
2020-02-07,1610612762,1610612757,231.0,0.462,0.64
2020-02-06,1610612752,1610612753,208.0,0.431,0.294
2020-02-06,1610612741,1610612740,244.0,0.392,0.365
2020-02-06,1610612749,1610612755,213.0,0.608,0.86
2020-02-06,1610612757,1610612759,242.0,0.44,0.451
2020-02-06,1610612747,1610612745,232.0,0.64,0.7759999999999999
2020-02-05,1610612765,1610612756,224.0,0.4,0.34600000000000003
2020-02-05,1610612738,1610612753,216.0,0.44,0.6940000000000001
2020-02-05,1610612751,1610612744,217.0,0.235,0.449
2020-02-05,1610612761,1610612754,237.0,0.62,0.72
2020-02-05,1610612750,1610612737,247.0,0.255,0.306
2020-02-05,1610612760,1610612739,212.0,0.255,0.6
2020-02-05,1610612742,1610612763,228.0,0.5,0.62
2020-02-05,1610612762,1610612743,193.0,0.6859999999999999,0.653
2020-02-05,1610612746,1610612748,239.0,0.6940000000000001,0.7
2020-02-04,1610612740,1610612749,228.0,0.857,0.4
2020-02-04,1610612745,1610612766,235.0,0.32,0.633
2020-02-04,1610612743,1610612757,226.0,0.46,0.68
2020-02-04,1610612747,1610612759,231.0,0.449,0.7709999999999999
2020-02-03,1610612766,1610612753,212.0,0.429,0.327
2020-02-03,1610612739,1610612752,273.0,0.28,0.26
2020-02-03,1610612754,1610612742,215.0,0.612,0.633
2020-02-03,1610612764,1610612744,242.0,0.22,0.354
2020-02-03,1610612737,1610612738,238.0,0.688,0.26
2020-02-03,1610612751,1610612756,216.0,0.408,0.438
2020-02-03,1610612748,1610612755,243.0,0.62,0.688
2020-02-03,1610612763,1610612765,178.0,0.353,0.49
2020-02-03,1610612758,1610612750,222.0,0.313,0.3670000000000001
2020-02-03,1610612746,1610612759,213.0,0.458,0.6940000000000001
2020-02-02,1610612765,1610612743,251.0,0.6940000000000001,0.34
2020-02-02,1610612745,1610612740,226.0,0.408,0.625
2020-02-02,1610612749,1610612756,237.0,0.417,0.8540000000000001
2020-02-02,1610612761,1610612741,231.0,0.373,0.7140000000000001
2020-02-01,1610612746,1610612750,224.0,0.319,0.688
2020-02-01,1610612754,1610612752,177.0,0.265,0.6459999999999999
2020-02-01,1610612753,1610612748,191.0,0.6809999999999999,0.438
2020-02-01,1610612739,1610612744,243.0,0.204,0.265
2020-02-01,1610612764,1610612751,220.0,0.447,0.34
2020-02-01,1610612738,1610612755,211.0,0.633,0.6809999999999999
2020-02-01,1610612742,1610612737,223.0,0.265,0.604
2020-02-01,1610612759,1610612766,204.0,0.333,0.447
2020-02-01,1610612758,1610612747,242.0,0.7659999999999999,0.375
2020-02-01,1610612757,1610612762,231.0,0.667,0.449
2020-01-31,1610612765,1610612761,197.0,0.708,0.34700000000000003
2020-01-31,1610612751,1610612741,251.0,0.38,0.435
2020-01-31,1610612745,1610612742,249.0,0.617,0.617
2020-01-31,1610612740,1610612763,250.0,0.5,0.396
2020-01-31,1610612749,1610612743,242.0,0.688,0.872
2020-01-31,1610612756,1610612760,218.0,0.5920000000000001,0.426
2020-01-31,1610612747,1610612757,246.0,0.438,0.7829999999999999
2020-01-30,1610612739,1610612761,224.0,0.7020000000000001,0.271
2020-01-30,1610612764,1610612766,228.0,0.34,0.326
2020-01-30,1610612737,1610612755,244.0,0.6459999999999999,0.25
2020-01-30,1610612738,1610612744,223.0,0.208,0.674
2020-01-30,1610612743,1610612762,206.0,0.6809999999999999,0.6809999999999999
2020-01-30,1610612746,1610612758,227.0,0.362,0.7020000000000001
2020-01-29,1610612754,1610612741,221.0,0.38799999999999996,0.638
2020-01-29,1610612751,1610612765,240.0,0.354,0.42200000000000004
2020-01-29,1610612752,1610612763,233.0,0.489,0.271
2020-01-29,1610612759,1610612762,247.0,0.696,0.435
2020-01-29,1610612757,1610612745,237.0,0.63,0.426
2020-01-29,1610612758,1610612760,220.0,0.583,0.37
