date,team_a,team_b,score
2020-03-01,1610612766,1610612749,178
2020-03-01,1610612750,1610612742,202
2020-03-01,1610612746,1610612755,266
2020-03-01,1610612743,1610612761,251
2020-03-01,1610612758,1610612765,206
2020-03-01,1610612740,1610612747,236
2020-03-01,1610612744,1610612764,234
2020-02-29,1610612737,1610612757,246
2020-02-29,1610612748,1610612751,229
2020-02-29,1610612739,1610612754,217
2020-02-29,1610612763,1610612747,193
2020-02-29,1610612738,1610612745,221
2020-02-29,1610612759,1610612753,227
2020-02-28,1610612753,1610612750,261
2020-02-28,1610612737,1610612751,259
2020-02-28,1610612761,1610612766,195
2020-02-28,1610612748,1610612742,244
2020-02-28,1610612763,1610612758,205
2020-02-28,1610612749,1610612760,219
2020-02-28,1610612756,1610612765,224
2020-02-28,1610612762,1610612764,248
2020-02-28,1610612746,1610612743,235
2020-02-27,1610612755,1610612752,221
2020-02-27,1610612754,1610612757,206
2020-02-27,1610612760,1610612758,220
2020-02-26,1610612766,1610612752,208
2020-02-26,1610612764,1610612751,216
2020-02-26,1610612748,1610612750,255
2020-02-26,1610612745,1610612763,252
2020-02-26,1610612756,1610612746,194
2020-02-26,1610612762,1610612738,217
2020-02-25,1610612754,1610612766,199
2020-02-25,1610612761,1610612749,205
2020-02-25,1610612741,1610612760,246
2020-02-25,1610612743,1610612765,213
2020-02-25,1610612757,1610612738,224
2020-02-24,1610612739,1610612748,244
2020-02-24,1610612764,1610612749,271
2020-02-24,1610612751,1610612753,228
2020-02-24,1610612745,1610612752,235
2020-02-24,1610612742,1610612750,262
2020-02-24,1610612746,1610612763,221
2020-02-23,1610612747,1610612738,226
2020-02-23,1610612761,1610612754,208
2020-02-23,1610612741,1610612764,243
2020-02-23,1610612760,1610612759,234
2020-02-23,1610612757,1610612765,211
2020-02-22,1610612766,1610612751,201
2020-02-22,1610612748,1610612739,229
2020-02-22,1610612741,1610612756,216
2020-02-22,1610612749,1610612755,217
2020-02-22,1610612762,1610612745,230
2020-02-21,1610612764,1610612739,221
2020-02-21,1610612752,1610612754,204
2020-02-21,1610612761,1610612756,219
2020-02-21,1610612760,1610612743,214
2020-02-21,1610612762,1610612759,217
2020-02-21,1610612757,1610612740,243
2020-02-20,1610612737,1610612748,253
2020-02-20,1610612741,1610612766,196
2020-02-20,1610612758,1610612763,254
2020-02-20,1610612744,1610612745,240
2020-02-13,1610612738,1610612746,274
2020-02-12,1610612739,1610612737,232
2020-02-12,1610612753,1610612765,228
2020-02-12,1610612751,1610612761,192
2020-02-12,1610612754,1610612749,229
2020-02-12,1610612752,1610612764,210
2020-02-12,1610612763,1610612757,215
2020-02-12,1610612742,1610612758,241
2020-02-12,1610612756,1610612744,218
2020-02-12,1610612762,1610612748,217
2020-02-12,1610612743,1610612747,236
2020-02-11,1610612755,1610612746,213
2020-02-11,1610612764,1610612741,240
2020-02-11,1610612740,1610612757,255
2020-02-11,1610612760,1610612759,220
2020-02-11,1610612745,1610612738,221
2020-02-10,1610612765,1610612766,163
2020-02-10,1610612754,1610612751,211
2020-02-10,1610612753,1610612737,261
2020-02-10,1610612761,1610612750,263
2020-02-10,1610612749,1610612758,234
2020-02-10,1610612742,1610612762,242
2020-02-10,1610612744,1610612748,214
2020-02-10,1610612747,1610612756,225
2020-02-09,1610612760,1610612738,223
2020-02-09,1610612737,1610612752,275
2020-02-09,1610612755,1610612741,229
2020-02-09,1610612764,1610612763,205
2020-02-09,1610612745,1610612762,227
2020-02-09,1610612757,1610612748,224
2020-02-08,1610612753,1610612749,206
2020-02-08,1610612766,1610612742,216
2020-02-08,1610612754,1610612740,241
2020-02-08,1610612750,1610612746,257
2020-02-08,1610612756,1610612743,225
2020-02-08,1610612758,1610612759,224
2020-02-07,1610612764,1610612742,237
2020-02-07,1610612738,1610612737,219
2020-02-07,1610612754,1610612761,221
2020-02-07,1610612760,1610612765,209
2020-02-07,1610612758,1610612748,202
2020-02-07,1610612762,1610612757,231
2020-02-06,1610612752,1610612753,208
2020-02-06,1610612749,1610612755,213
2020-02-06,1610612747,1610612745,232
2020-02-05,1610612738,1610612753,216
2020-02-05,1610612751,1610612744,217
2020-02-05,1610612750,1610612737,247
2020-02-05,1610612760,1610612739,212
2020-02-05,1610612742,1610612763,228
2020-02-05,1610612762,1610612743,193
2020-02-05,1610612746,1610612748,239
2020-02-04,1610612740,1610612749,228
2020-02-04,1610612745,1610612766,235
2020-02-04,1610612743,1610612757,226
2020-02-03,1610612766,1610612753,212
2020-02-03,1610612754,1610612742,215
2020-02-03,1610612737,1610612738,238
2020-02-03,1610612751,1610612756,216
2020-02-03,1610612763,1610612765,178
2020-02-03,1610612758,1610612750,222
2020-02-03,1610612746,1610612759,213
2020-02-02,1610612765,1610612743,251
2020-02-02,1610612745,1610612740,226
2020-02-01,1610612746,1610612750,224
2020-02-01,1610612753,1610612748,191
2020-02-01,1610612764,1610612751,220
2020-02-01,1610612738,1610612755,211
2020-02-01,1610612742,1610612737,223
2020-02-01,1610612759,1610612766,204
2020-02-01,1610612758,1610612747,242
2020-02-01,1610612757,1610612762,231
2020-01-31,1610612765,1610612761,197
2020-01-31,1610612751,1610612741,251
2020-01-31,1610612740,1610612763,250
2020-01-31,1610612747,1610612757,246
2020-01-30,1610612764,1610612766,228
2020-01-30,1610612737,1610612755,244
2020-01-30,1610612738,1610612744,223
2020-01-30,1610612743,1610612762,206
2020-01-30,1610612746,1610612758,227
2020-01-29,1610612754,1610612741,221
2020-01-29,1610612751,1610612765,240
2020-01-29,1610612752,1610612763,233
2020-01-29,1610612759,1610612762,247
2020-01-29,1610612757,1610612745,237
2020-01-28,1610612766,1610612752,189
2020-01-28,1610612755,1610612744,219
2020-01-28,1610612739,1610612740,236
2020-01-28,1610612761,1610612737,244
2020-01-28,1610612748,1610612738,210
2020-01-28,1610612763,1610612743,200
2020-01-28,1610612749,1610612764,282
2020-01-28,1610612742,1610612756,237
2020-01-27,1610612765,1610612739,215
2020-01-27,1610612748,1610612753,205
2020-01-27,1610612741,1610612759,219
2020-01-27,1610612750,1610612758,262
2020-01-27,1610612760,1610612742,204
2020-01-27,1610612762,1610612745,243
2020-01-26,1610612743,1610612745,227
2020-01-26,1610612737,1610612764,285
2020-01-26,1610612752,1610612751,207
2020-01-26,1610612753,1610612746,209
2020-01-26,1610612763,1610612756,223
2020-01-26,1610612740,1610612738,231
2020-01-26,1610612757,1610612754,268
2020-01-25,1610612762,1610612742,219
2020-01-25,1610612739,1610612741,224
2020-01-25,1610612750,1610612760,217
2020-01-25,1610612755,1610612747,199
2020-01-24,1610612766,1610612749,219
2020-01-24,1610612765,1610612763,237
2020-01-24,1610612753,1610612738,207
2020-01-24,1610612752,1610612761,230
2020-01-24,1610612741,1610612758,179
2020-01-24,1610612740,1610612743,219
2020-01-24,1610612760,1610612737,251
2020-01-24,1610612759,1610612756,202
2020-01-23,1610612739,1610612764,236
2020-01-23,1610612757,1610612742,258
2020-01-22,1610612765,1610612758,233
2020-01-22,1610612753,1610612760,234
2020-01-22,1610612761,1610612755,202
2020-01-22,1610612737,1610612746,197
2020-01-22,1610612738,1610612763,214
2020-01-22,1610612748,1610612764,263
2020-01-22,1610612741,1610612750,227
2020-01-22,1610612745,1610612743,226
2020-01-22,1610612756,1610612754,199
2020-01-22,1610612740,1610612759,238
2020-01-22,1610612744,1610612762,225
2020-01-20,1610612764,1610612765,206
2020-01-20,1610612737,1610612761,239
2020-01-20,1610612751,1610612755,228
2020-01-20,1610612766,1610612753,189
2020-01-20,1610612739,1610612752,192
2020-01-20,1610612748,1610612758,231
2020-01-20,1610612745,1610612760,219
2020-01-20,1610612763,1610612740,242
2020-01-20,1610612749,1610612741,209
2020-01-20,1610612738,1610612747,246
2020-01-20,1610612750,1610612743,207
2020-01-20,1610612756,1610612759,238
2020-01-20,1610612762,1610612754,206
2020-01-20,1610612757,1610612744,253
2020-01-18,1610612740,1610612746,263
2020-01-18,1610612738,1610612756,242
2020-01-18,1610612737,1610612765,239
