date,team_a,team_b,score,sidefeature
2020-03-01,1610612766,1610612749,178,214.02
2020-03-01,1610612750,1610612742,202,224.14
2020-03-01,1610612746,1610612755,266,221.48
2020-03-01,1610612743,1610612761,251,220.36
2020-03-01,1610612758,1610612765,206,219.24
2020-03-01,1610612740,1610612747,236,225.66
2020-03-01,1610612744,1610612764,234,220.54
2020-02-29,1610612737,1610612757,246,226.52
2020-02-29,1610612748,1610612751,229,216.32
2020-02-29,1610612739,1610612754,217,215.34
2020-02-29,1610612763,1610612747,193,220.88
2020-02-29,1610612738,1610612745,221,224.8
2020-02-29,1610612759,1610612753,227,214
2020-02-28,1610612753,1610612750,261,216.72
2020-02-28,1610612737,1610612751,259,217.1
2020-02-28,1610612761,1610612766,195,213.68
2020-02-28,1610612748,1610612742,244,221.18
2020-02-28,1610612763,1610612758,205,216.44
2020-02-28,1610612749,1610612760,219,222.26
2020-02-28,1610612756,1610612765,224,219.14
2020-02-28,1610612762,1610612764,248,217.48
2020-02-28,1610612746,1610612743,235,222.28
2020-02-27,1610612755,1610612752,221,213.72
2020-02-27,1610612754,1610612757,206,218.78
2020-02-27,1610612760,1610612758,220,219.7
2020-02-26,1610612766,1610612752,208,208.88
2020-02-26,1610612764,1610612751,216,215.68
2020-02-26,1610612748,1610612750,255,220.1
2020-02-26,1610612745,1610612763,252,221.08
2020-02-26,1610612756,1610612746,194,222.54
2020-02-26,1610612762,1610612738,217,217.06
2020-02-25,1610612754,1610612766,199,207.1
2020-02-25,1610612761,1610612749,205,221.46
2020-02-25,1610612741,1610612760,246,214.56
2020-02-25,1610612743,1610612765,213,220.44
2020-02-25,1610612757,1610612738,224,225.28
2020-02-24,1610612739,1610612748,244,216.78
2020-02-24,1610612764,1610612749,271,219.4
2020-02-24,1610612751,1610612753,228,209.42
2020-02-24,1610612745,1610612752,235,219.04
2020-02-24,1610612742,1610612750,262,223.74
2020-02-24,1610612746,1610612763,221,220.22
2020-02-23,1610612747,1610612738,226,222.98
2020-02-23,1610612761,1610612754,208,214.5
2020-02-23,1610612741,1610612764,243,210.9
2020-02-23,1610612760,1610612759,234,219.28
2020-02-23,1610612757,1610612765,211,225.56
2020-02-22,1610612766,1610612751,201,207.62
2020-02-22,1610612748,1610612739,229,216.06
2020-02-22,1610612741,1610612756,216,211.5
2020-02-22,1610612749,1610612755,217,217.24
2020-02-22,1610612762,1610612745,230,217.76
2020-02-21,1610612764,1610612739,221,217.04
2020-02-21,1610612752,1610612754,204,209.64
2020-02-21,1610612761,1610612756,219,219.96
2020-02-21,1610612760,1610612743,214,220
2020-02-21,1610612762,1610612759,217,212.64
2020-02-21,1610612757,1610612740,243,227.86
2020-02-20,1610612737,1610612748,253,216.04
2020-02-20,1610612741,1610612766,196,203.72
2020-02-20,1610612758,1610612763,254,214.92
2020-02-20,1610612744,1610612745,240,221.56
2020-02-13,1610612738,1610612746,274,221.6
2020-02-12,1610612739,1610612737,232,217.92
2020-02-12,1610612753,1610612765,228,212.72
2020-02-12,1610612751,1610612761,192,215
2020-02-12,1610612754,1610612749,229,214.18
